No,Title
1,"프린스 보아텡 ""괴체-드락슬러와 함께 헤르타로 가고 싶었다"""
2,"라이프치히, 브레멘 주포 라시차 영입 근접... 베르너 대체하나?"
3,'마테우스부터 뤼카까지' 뮌헨 역대 최고 이적료 기록자들
4,"뮌헨 감독 플릭, 베르너 영입 시사? ""투톱도 옵션이 될 수 있다"""
5,플릭 정식감독 부임 효과? 티아고 뮌헨과 재계약 임박
6,"'아이콘' 뮐러, 바이에른과 재계약한다... 키커지 보도"
7,차비가 주목하는 산초-그나브리 비교 분석
8,"'코로나 여파' 하베르츠, 레버쿠젠과 재계약할까?"
9,'음바페-산초-홀란드'... 21세 이하 몸값 베스트 일레븐 
10,"'이적 추진' 알라바, 맨시티행 거절... 스페인행 원한다"
11,"라이프치히, 클로스터만 남고 우파메카노 떠난다"
12,"도르트문트 단장 ""코로나 여파로 이적시장도 조용할 것"""
13,"레비부터 즐라탄까지, 최고의 공짜 영입은 누구?[GOAL 선정]"
14,에밀리아노 살라 비행기 추락 사고의 전말... 조종사 무면허 비행
15,"'묀헨글라드바흐 천적' 도르트문트, 10연승 달리다"
16,"'6경기 연속 공격포인트' 우트, 고향팀 쾰른 상승세 이끌다"
17,"'실수 연발' 뉘벨, 샬케-바이에른 모두의 애물단지로 떠오르다"
18,"'부상 & 징계' 바르사, 안 그래도 얇은 스쿼드가 더 얇아지다"
19,"'3골에 모두 관여' 브루노, 맨유 공격의 허브로 떠오르다"
20,"'5경기 5골' 레비치, 밀란의 새로운 해결사 될까? "
21,"베르흐베인 ""데뷔골은 누리를 위한 골이었어"""
22,"'최다 태클' 엠레 찬, 도르트문트에 결여된 투쟁심을 심어주다"
23,"헤르타, 클린스만과 관계 정리에 나서다... 이사회 임원도 OUT!"
24,"무책임한 클린스만, 헤르타에 혼란만 안기고 떠나다"
25,"'겨울 역대 최고 이적료' 헤르타, 독일 수도에 축구붐 일으킬까?"
26,"'5경기 연속 골' 이삭, 주제 토트넘 이적 소동의 수혜자 되다"
27,뎀메 이적 효과에 나폴리 웃고 라이프치히 울다
28,"'에릭센 대체자' 로셀소, 더도 말고 덜도 말고 오늘만 같아라"
29,"'감독 데뷔전' 세티엔, 바르사 전통의 점유율 축구 되찾다"
30,"'교체 출전 해트트릭' 홀란드, 괴물의 데뷔전은 완벽했다"
31,"'묀헨글라드바흐 잡은' 샬케, 그레고리치 임대가 신의 한 수"
32,"'토디보 임대' 샬케-바르사, Win-Win을 꿈꾸다"
33,"바르사, '크루이프 신봉자' 세티엔과 함께 기본으로 돌아가다"
34,"무리뉴-클롭, 한입 모아 EPL 데뷔전 탕강가 극찬"
35,"[오피셜] 라이프치히 부주장 뎀메, 우상 따라 나폴리 이적"
36,"도르트문트, 홀란드 바이아웃 조항은 2022년부터 발동?"
37,"빌트지 ""홀란드 바이아웃 금액? 785억보단 훨씬 높다"""
38,"아르테타 ""난 자카 좋아해. 맨시티에서도 자카 영입 시도했어"""
39,"독일 GK 전설들 이구동성 ""노이어 있는데 뉘벨이 왜 뮌헨을?"""
40,"'뉘벨 너마저!' 샬케, 보스만 잔혹사는 계속된다"
41,"'역대급 대패' 밀란, 몰락의 길로 접어들다"
42,"'4년 만의 6경기 무패' 아우크스부르크, 3가지 원동력은?"
43,"뮌헨 선수들 이구동성 ""쿠티뉴 완전 영입해야 한다"""
44,"홀란드, 도르트문트 공항 입국... BVB 이적 급물살?"
45,"'천재 감독' 나겔스만, ""언젠가 바르사 감독 하고 싶다"""
46,"[오피셜] 클린스만, 헤르타 감독 부임... 10년 만에 독일 복귀"
47,"'최다 선방 신기록' 나바스, 친정팀 레알 발목 잡다"
48,"에이전트 ""과르디올라는 맨시티에서 행복해""... 결별설 부인"
49,"마테우스 ""과르디올라가 바이에른 새 감독으로 최적격"""
50,"'1골 3도움' 나잉골란, 돌아온 전사가 칼리아리 돌풍 이끌다"
51,"'램파드의 유치원' 첼시, 최연소로 팰리스 잡으며 6연승 질주"
52,"도르트문트와 첼시, 풀백 덕에 패배 위기에서 살아나다"
53,"'역사적 대패' 바이에른, 공개 훈련 취소... 코바치 경질 가속화?"
54,"'빅클럽 러브콜' 베르너, 3골 3도움 폭발... 라이프치히 대승 견인"
55,"'첼시 최연소 해트트릭' 풀리식, 램파드표 압박축구의 총아 될까?"
56,"텐 하흐 아약스 감독 ""뮌헨 감독 부임 가능성? 배제하지 않는다"""
57,"즐라탄 ""무리뉴는 여전히 스페셜 원, 빨리 감독 복귀했으면"""
58,"레알 마드리드, 영입 선수들 동반 부진에 발목 잡히다"
59,"묀헨글라드바흐와 볼프스부르크, 분데스 상위권 판도 흔들다"
60,"분데스리가 현역 최장수 원클럽맨 뮐러, 바이에른 떠나나?"
61,"'맨유 격파' 뉴캐슬, 롱스태프 형제는 용감했다"
62,"'실력 발휘' 네이마르, PSG 팬들의 야유를 환호로 바꾸다"
63,"'회춘한' 리베리, 드리블 횟수 급증하다"
64,바이에른의 새로운 마법사 쿠티뉴와 역사 쓴 레반도프스키
65,"'천재' 외데고르의 급부상, 레알과 소시에다드가 함께 웃는다"
66,"'19경기 만의 승' 피오렌티나, 리베리 없었으면 어쩔 뻔했어?"
67,"'대승' 아스널, EFL컵  활용의 모범 답안 제시하다"
68,"'해트트릭' 홀란드, 왜 자신이 차세대 대형 공격수인지를 입증하다"
69,"피오렌티나 구단주 ""리베리가 호날두보다 더 잘 하는 거 봤지?"""
70,"레알 회장 ""포그바-레반도프스키, 영입 시도했으나 불가능"""
71,"'라이프치히 신입생' 쉬크, 메디컬 테스트 2번 받은 사연은?"
72,"'멀티골' 베일, 애물단지에서 레알의 구세주로 떠오르다"
73,"'최근 16경기 3승' 맨유, 공격도 안 되는데 매경기 실점"
74,"'의문의 난타전' 유벤투스-나폴리, 믿었던 수비에서 흔들리다"
75,"[오피셜] 몬레알, 소시에다드 이적... 6년 만에 스페인 복귀"
76,"'지동원-마테타 부상' 마인츠, 찰라이 복귀로 골가뭄 해소할까?"
77,"[오피셜] 도스트, 프랑크푸르트 이적... 3년 만에 독일 복귀"
78,"'줄부상에도 5골 폭발' 바르사, 난세에 영웅이 등장한다"
79,"[오피셜] '주포' 베르너, 라이프치히와 2023년까지 재계약"
80,"'멀티골' 알레, 웨스트 햄 최고액에 걸맞는 활약상 펼치다"
81,"'게임 체인저' 브란트, 도르트문트 역전승 이끌다"
82,"'헤나투 산체스 판매' 바이에른, 로카 영입 나선다"
83,"'바이에른 새 출발' 쿠티뉴, 명예회복에 성공할까?"
84,"'업그레이드' 도르트문트, 이번엔 정말 뮌헨 넘어설까?"
85,"'멀티골' 이재성, 키커지 선정 3라운드 최우수 선수"
86,"'2도움' 세바요스, 카솔라의 향수를 자극하다"
87,"헤나투 산체스, ""뮌헨 떠나고 싶은데 놔주질 않는다"""
88,"'뮌헨 킬러' 루케바키오, 또다시 바이에른 발목 잡다"
89,"정우영, 빌트지 선정 19/20 시즌 급부상할 선수 뽑히다"
90,"[오피셜] 바이에른, 페리시치 임대 영입... 측면 공격 강화"
91,"[오피셜] 빌바오, 에이스 이냐키 9년 재계약... 사실상 종신"
92,"'맨유 신입생' 매과이어 & 완-비사카, 솔샤르 축구 강화하다"
93,"'역전승 견인' 에릭센, 토트넘이 잡아야 할 이유 증명하다"
94,"'굴러온 복' 루이스, 아스널 수비 문제 해소할까?"
95,"'지동원-마테타 부상' 마인츠, 새 전술로 공격 문제 타개한다"
96,나홀로 집에 패러디... 프랑크푸르트의 센스 있는 트랍 오피셜
97,"르로이 사네 영입 노리는 뮌헨, 동생 시디까지 동시 영입?"
98,"비첼 ""바이에른 수비들? 산초에게 겁먹은 인상이었어"""
99,"[오피셜] AC 밀란, 베나세르 영입... 마침내 중원 보강"
100,"'슈퍼컵 완패' 바이에른, 추가 보강은 필수"
101,"'브리티시 인베이전' 산초, 슈퍼컵 우승 이끌다"
102,"리베리, 새 시즌도 분데스에서? 프랑크푸르트 영입설 제기"
103,"팰리스 2군 감독 ""완-비사카, 마치 형사 가제트 같아"""
104,"'아스널 임대' 세바요스 ""우상 레예스의 뒤잇겠다"""
105,"오스카의 역제의? ""세리에A에서 뛰고 싶어"""
106,"'보카 입단' 데 로시, ""마라도나 때문에 이 곳에 왔다"""
107,"괴체, ""분데스에서만 10년째... 해외 진출 고려할수도"""
108,"[오피셜] 첼시 유망주 수비수 암파두, 라이프치히 임대"
109,빌트지가 분류한 뮌헨 영입명단... 플랜A는 사네-오도이-로카
110,"'AT의 1600억 사나이' 펠릭스, 데뷔전 고관절 통증 호소"
111,"'신무기' 황의조, 보르도의 득점 가뭄 해소할까?"
112,"'구단 역대 최고액' 알레, 웨스트 햄 공격의 해결사 될까?"
113,"[오피셜] 유벤투스, 괴물 수비수 데 리흐트 영입 확정"
114,"아약스 단장 ""나라면 외질 팔고 반값으로 지예흐 산다"""
115,"4부 리그에서 대표팀까지... '인생역전' 라차리, 라치오 이적"
116,"'인테르 이적설' 루카쿠, ""다음 주면 내 거취 알게 될 거다"""
117,"안첼로티 ""하메스 원하는 건 맞지만, 시간 걸릴 것"""
118,"'설상가상' 아스널, 영입은 안 되는데 주장은 나가려고 한다"
119,"'다재다능' 바렐라, 인테르 중원의 마지막 퍼즐조각 될까?"
120,"[오피셜] 바르사, 그리즈만 영입 확정... 이적료 1600억"
121,"'필드 플레이어 17명' 바이에른, 발등에 불 떨어지다"
122,"'AT 입단' 펠릭스, ""호날두는 호날두, 나만의 역사 만들겠다"""
123,"'볼소유의 지배자' 로드리, 맨시티의 부스케츠 될까?"
124,"'토트넘 역대 최고액 사나이' 은돔벨레, 공수 겸장 미드필더"
125,"'램지-라비오 영입' 유벤투스, 공짜 영입의 대명사"
126,"나폴리, 마놀라스-쿨리발리 세리에 최강 수비 구축하다"
127,"유벤투스-로마, 스피나촐라-펠레그리니 맞바꾼 이유는?"
128,"'700억 사나이' 완-비사카, 맨유 측면 문제 해소할까?"
129,"[오피셜] 맨유, 완-비사카 영입 확정... 측면 수비 보강"
130,"'뉴 포그바' 아구메, 인테르가 노리는 신성"
131,"아틀레티코의 도박, 펠릭스는 그리즈만 대체할 수 있을까?"
132,"[오피셜] AT.마드리드, 그리즈만 대체자로 펠릭스 영입"
133,"'정우영 영입' 프라이부르크, 새 날개 장착하다"
134,"'훔멜스 리턴' 도르트문트, 우승 위해 이성을 택하다"
135,"[오피셜] '폭풍 영입' 레버쿠젠, 보슈 애제자 싱크라벤 영입"
136,"[오피셜] '요비치 떠난' 프랑크푸르트, 닮은꼴 요벨리치 영입"
137,"'레알이 영입한 공격형 풀백' 망디, 마르셀루 후계자 될까?"
138,이카르디에서 시작된 세리에A 공격진 연쇄 이동 가능성
139,"'이적시장 최대어' 그리즈만 ""내 미래 결정됐다. 마이애미는 아냐"""
140,"'솔샤르 첫 영입' 제임스, 장기적인 성공? 혹은 즉흥적인 도박?"
141,"'호날두 이후 EPL 최고 아웃풋' 아자르, 레알 에이스 계보 잇는다"
142,"'10년 만의 공격수 영입' 요비치, 레알 공격수 계보 이을까?"
143,"루메니게 바이에른 CEO ""하메스, 뮌헨 떠난다"""
144,조현우 독일 이적설... 연결된 3구단은 골키퍼 영입 필요한가?
145,"'유베 8연패의 시작' 콘테, 인테르에서 유베 독주 끝낼까?"
146,"'2골 1도움' 아자르, 최고의 피날레 장식하다"
147,"'브란트-토르강-슐츠' 폭풍 영입 도르트문트, 대권에 도전한다"
148,"'독일 대표팀 풀백' 슐츠, 도르트문트 측면 수비의 구세주 될까?"
149,"레버쿠젠 두 보석, 하버츠와 브란트의 미래는?"
150,"[오피셜] '로마의 심장' 데 로시, 이번 시즌 끝으로 떠난다"
